"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","result"
"","","","","","psychophysics","298","1247238","0.0-9.0-0.1-0.185","705","","f","","","","","","","","","","","","","key","f","16.6635675675672","960","536","3_Stimuli/S_ambi40.png","朋友","Image","朋友","Match","f","true","Formal",""
"","","","","","psychophysics","299","1249254","0.0-9.0-0.1-0.186","865","","j","","","","","","","","","","","","","key","j","16.664633333331828","960","536","3_Stimuli/T_ambi40.png","朋友","Word","他人","Mismatch","j","true","Formal",""
"","","","","","psychophysics","300","1251436","0.0-9.0-0.1-0.187","1029","","j","","","","","","","","","","","","","key","j","16.662953488371702","960","536","3_Stimuli/S_ambi40.png","他人","Image","朋友","Mismatch","j","true","Formal",""
"","","","","","psychophysics","301","1253153","0.0-9.0-0.1-0.188","567","","f","","","","","","","","","","","","","key","f","16.664186274509547","960","536","3_Stimuli/C_ambi40.png","自我","Image","自我","Match","f","true","Formal",""
"","","","","","psychophysics","302","1255256","0.0-9.0-0.1-0.189","952","","j","","","","","","","","","","","","","key","j","16.663664000000804","960","536","3_Stimuli/T_ambi40.png","自我","Image","他人","Mismatch","j","true","Formal",""
"","","","","","psychophysics","303","1257308","0.0-9.0-0.1-0.190","900","","j","","","","","","","","","","","","","key","j","16.664172131148334","960","536","3_Stimuli/C_ambi40.png","他人","Word","自我","Mismatch","j","true","Formal",""
"","","","","","psychophysics","304","1259088","0.0-9.0-0.1-0.191","628","","f","","","","","","","","","","","","","key","f","16.663547169812517","960","536","3_Stimuli/S_ambi40.png","朋友","Image","朋友","Match","f","true","Formal",""
"","","","","","psychophysics","305","1260917","0.0-9.0-0.1-0.192","676","","f","","","","","","","","","","","","","key","f","16.665027777776466","960","536","3_Stimuli/C_ambi40.png","朋友","Word","自我","Mismatch","j","false","Formal",""
"","","","","","psychophysics","306","1262864","0.0-9.0-0.1-0.193","797","","j","","","","","","","","","","","","","key","j","16.662634782608517","960","536","3_Stimuli/S_ambi40.png","朋友","Image","朋友","Match","f","false","Formal",""
"","","","","","psychophysics","307","1264767","0.0-9.0-0.1-0.194","752","","f","","","","","","","","","","","","","key","f","16.664008849558","960","536","3_Stimuli/T_ambi40.png","他人","Word","他人","Match","f","true","Formal",""
